Customer_ID,Age,Employment_Type,Income,Loan_Amount,Loan_Term_Months,Interest_Rate,Credit_Score,Default_Status
63,21,Self Employed,65356,457985,34,14.948593556284985,368,1
64,69,Self Employed,134227,370642,35,17.896987648465593,826,0
65,31,Self Employed,124752,229918,36,14.75331776775255,553,0
66,67,Self Employed,186080,26090,33,13.872218145132193,579,0
67,68,Self Employed,133020,384177,51,14.528102962099094,837,1
68,24,Salaried,98504,114460,33,16.47815753984432,741,0
69,40,Self Employed,178655,435222,43,10.22305035184498,408,1
70,60,Salaried,115427,174965,48,19.741917158095756,580,0
71,39,Unemployed,173412,260612,48,13.27033210660686,437,0
72,23,Salaried,189101,386578,12,12.365690119594657,392,0
73,23,Salaried,171251,111570,45,17.241811437422925,708,1
74,65,Unemployed,119514,342741,45,10.359219615652023,327,0
75,66,Unemployed,198801,412667,60,15.461284516599541,839,1
76,56,Self Employed,70071,260917,37,10.597512989203988,769,1
77,28,Self Employed,62809,473163,36,18.622365156012563,684,0
78,41,Salaried,186347,252935,20,15.032796953651491,681,0
79,34,Salaried,99877,460499,23,16.70407149951007,398,0
80,43,Unemployed,77190,287829,49,18.938584807124883,456,0
81,29,Unemployed,122368,284225,16,18.470764515954286,834,0
82,60,Self Employed,132199,136364,52,14.887172086563936,622,0
83,38,Salaried,153966,391077,53,18.22323872683384,317,1
84,58,Unemployed,175706,164395,46,16.665370609963702,697,1
85,67,Self Employed,76090,338872,37,14.858140860746552,371,0
86,61,Self Employed,26388,364782,24,19.94943699101957,521,0
87,27,Unemployed,56983,225930,53,15.175768319128629,442,1
88,49,Unemployed,37080,488501,40,15.732312049868005,381,1
89,59,Unemployed,77916,473948,47,14.351108919117799,674,1
90,46,Unemployed,133833,490738,51,17.60167490398333,464,0
91,68,Unemployed,185245,439672,56,13.205226920491144,316,0
92,57,Salaried,109029,236350,39,11.878698123004297,553,1
93,56,Unemployed,185571,83096,34,19.63969764101573,577,1
94,43,Self Employed,20116,267556,59,14.394978759011746,505,1
95,42,Self Employed,118170,139573,20,18.86934823009797,579,0
96,29,Salaried,123607,316044,53,12.172339961654727,682,1
97,69,Salaried,175648,320912,46,19.402832379521058,480,0
98,47,Self Employed,42829,242906,29,12.920751752662648,362,1
99,22,Unemployed,38759,102837,19,10.786432016802845,817,0
100,57,Unemployed,127051,73073,49,11.436480008810758,803,1
101,55,Self Employed,82103,159617,15,14.328023289479727,513,0
102,26,Self Employed,28456,312017,40,15.057430385661846,711,1
103,69,Unemployed,100548,206301,28,16.794318680992546,578,1
104,38,Salaried,55711,178319,52,13.817025081939226,550,0
105,65,Unemployed,161500,416870,12,10.336665189091189,809,0
106,33,Self Employed,86764,425432,38,18.099456879480584,546,1
107,28,Salaried,190686,110489,20,11.279180200069042,429,0
108,44,Salaried,32677,199353,42,18.706357669165186,746,0
109,22,Self Employed,184325,24279,28,12.86445468760678,433,0
110,52,Unemployed,164340,248022,32,10.643084165517214,701,0
111,43,Unemployed,43492,338299,40,16.651250993153262,803,1
112,38,Unemployed,32843,27674,54,14.943686063795912,771,1
113,32,Salaried,122309,476914,40,12.799916435787832,807,1
114,49,Unemployed,88994,48856,41,14.888713141013925,486,1
115,45,Unemployed,158777,407368,18,18.153956892301508,464,1
116,26,Self Employed,40681,467885,28,16.044022840820027,454,0
117,67,Self Employed,84666,398425,26,13.742820526798173,435,1
118,21,Unemployed,105451,11915,27,17.493372336971962,637,0
119,31,Unemployed,187695,285032,15,16.03282696507498,481,0
120,46,Self Employed,137463,57062,40,17.51290018898029,331,1
121,37,Self Employed,139429,28680,36,13.603884881709783,830,0
122,59,Unemployed,120382,17322,59,12.894340508513197,506,0
123,24,Salaried,61007,117636,31,12.621772143582886,772,1
124,34,Unemployed,76348,472402,19,18.64283784751023,422,0
125,69,Salaried,192857,96227,43,18.749723173110233,392,0
126,63,Salaried,66187,10482,51,11.98782302030782,702,0
127,60,Unemployed,46413,128664,32,17.511285303408425,529,0
128,48,Self Employed,193858,167166,12,10.330419282172642,487,1
129,49,Unemployed,125341,140910,46,12.796927727233529,740,0
130,68,Self Employed,173528,202689,39,18.16143552288318,413,0
131,58,Salaried,180486,409681,52,12.69761777869262,780,1
132,39,Self Employed,103197,384616,19,19.597006271847697,622,1
133,57,Self Employed,181360,46227,34,17.733749950765027,385,1
134,44,Self Employed,190731,447007,30,15.341781942839102,545,0
135,37,Self Employed,178044,78857,33,14.813647569387243,645,0
136,27,Unemployed,24919,271108,56,17.26642654698679,849,1
137,21,Salaried,27318,82970,29,18.097232765912118,514,0
138,53,Unemployed,161358,372804,37,11.462986977329722,515,1
139,24,Self Employed,110702,188203,40,13.298756154480813,593,0
140,22,Unemployed,122339,15235,15,10.422980665430394,496,0
141,21,Unemployed,33541,349863,26,18.6417104021208,375,0
142,45,Salaried,61591,56166,24,18.244734703587127,380,1
143,48,Salaried,100292,411155,40,15.090983297128009,491,1
144,44,Unemployed,175092,379914,27,16.230217529258432,725,0
145,43,Unemployed,125784,95379,33,12.046188904766428,596,0
146,53,Unemployed,172325,266375,20,18.117108235602416,577,0
147,39,Self Employed,41248,256927,23,17.595992413626735,473,0
148,69,Salaried,21940,448734,16,14.874539186840607,668,0
149,41,Unemployed,117748,55105,42,13.191999152275883,581,1
150,66,Salaried,85302,438277,47,15.582559499048099,612,0
151,23,Salaried,166471,92910,45,11.051658772583687,392,1
152,41,Unemployed,34566,230075,18,16.358755957271164,529,1
153,35,Salaried,91554,488667,56,18.904013313038888,332,0
154,58,Unemployed,31049,130531,25,10.412753788589203,386,1
155,24,Self Employed,111971,385300,51,19.195956457837312,429,0
156,69,Salaried,161906,157198,51,10.441037768035745,798,0
157,28,Self Employed,128303,482767,38,17.41098873330293,801,0
158,55,Unemployed,64308,388978,59,18.53261066477643,700,0
159,60,Salaried,138780,234814,32,14.624040204868692,462,0
160,36,Unemployed,111335,203267,30,14.548666555582066,517,0
161,33,Salaried,93825,321437,50,11.063470893694591,668,0
162,57,Salaried,39053,271568,49,11.243967011887616,475,1
163,39,Self Employed,105325,287504,20,19.511480940125757,389,1
164,61,Salaried,40303,416311,21,10.261691184316538,770,1
165,29,Salaried,144174,435365,21,17.382218485576633,569,1
166,22,Salaried,137201,30327,23,12.307208766748605,437,1
167,60,Self Employed,69917,34355,19,15.071944592442321,723,1
168,59,Salaried,184231,189735,48,18.224324391795065,632,1
169,48,Unemployed,31966,363118,48,19.211047286834148,845,0
170,62,Salaried,36308,88952,17,17.943046406176702,475,0
171,36,Self Employed,20196,356784,43,17.881037757787304,375,1
172,38,Salaried,99460,361715,43,18.609639649703894,713,0
173,38,Unemployed,159743,55825,46,18.283640935436992,307,1
174,24,Self Employed,97082,406300,22,15.76566475960355,387,1
175,50,Salaried,29924,30218,47,15.541865124197708,814,0
176,46,Unemployed,107394,175180,25,12.38424369424213,782,1
177,21,Salaried,61675,308624,24,11.62482336003091,720,0
178,42,Unemployed,175820,106197,31,13.603033902514243,441,1
179,57,Salaried,91227,457141,32,16.295332786112056,785,0
180,68,Unemployed,108388,379598,58,14.529305902008058,699,0
181,60,Salaried,40840,440958,20,11.494632938164894,425,1
182,51,Self Employed,153560,267188,45,12.6146253171954,547,0
183,56,Unemployed,42157,167927,31,11.079646077203494,670,0
184,28,Unemployed,157258,255423,39,13.363832482781067,629,0
185,67,Unemployed,114806,442734,35,14.064574228392782,537,0
186,38,Unemployed,139366,192619,18,17.17866441320389,492,1
187,31,Unemployed,115275,494907,35,15.207406276705399,538,0
188,53,Unemployed,33523,89655,46,16.766576410679264,667,1
189,38,Salaried,184115,100823,31,19.901958161533116,669,0
190,30,Salaried,181633,28716,43,13.027730353197938,839,0
191,45,Unemployed,82600,455083,55,15.874555166958583,695,0
192,67,Self Employed,171774,314858,20,19.187156082554218,640,0
193,62,Salaried,139346,415125,24,16.013997496004333,358,1
194,46,Salaried,67478,289123,60,17.889027039225773,424,0
195,33,Salaried,97512,421668,40,10.184827768367924,501,1
196,49,Unemployed,47149,254358,20,19.473609362700323,486,0
197,30,Self Employed,68208,59070,55,16.5731816667618,822,1
198,28,Unemployed,78902,367015,21,17.833565575454095,327,1
199,40,Unemployed,160210,37909,22,16.255257901025292,800,0
200,51,Self Employed,157826,492144,29,11.602343197492353,400,0
201,50,Self Employed,110703,167127,26,12.16586603708957,624,1
202,46,Unemployed,150347,122358,44,17.616430192727936,835,0
203,61,Unemployed,77907,262243,43,15.717606119012988,353,0
204,54,Unemployed,193479,29460,21,17.85749023016878,571,1
205,39,Salaried,155220,368030,21,13.513316115596302,407,1
206,33,Salaried,89107,393183,54,15.498389362327377,782,0
207,57,Salaried,143793,130961,27,19.19371632574854,468,0
208,39,Salaried,142700,259265,49,14.72719001151435,406,0
209,38,Unemployed,50378,188852,28,12.757541296954148,500,1
210,39,Salaried,133825,172404,43,10.822380467510227,451,1
211,33,Self Employed,47663,331693,21,15.285397445930704,634,0
212,34,Salaried,20170,479034,51,19.051584743155402,468,1
213,43,Self Employed,89307,334651,28,13.691161411322424,508,0
214,46,Unemployed,182518,384509,34,11.416348532724593,306,0
215,61,Salaried,195569,93017,13,16.292726959253805,496,0
216,37,Self Employed,132731,462176,44,18.711407371094896,406,1
217,47,Self Employed,153298,172268,28,14.08608305841837,752,0
218,64,Salaried,167511,100698,45,16.195207928386264,609,1
219,50,Self Employed,152028,321219,56,19.291150017051848,545,0
220,24,Salaried,55032,232270,31,12.911001521684247,577,0
221,57,Salaried,58020,26336,54,13.165471399797507,365,0
222,30,Salaried,38864,206424,20,15.098685123128767,345,1
223,69,Self Employed,168639,470036,21,10.543990602273404,376,1
224,22,Unemployed,31662,219921,48,11.153925187958139,558,1
225,68,Salaried,138640,264831,30,13.568726191696317,769,0
226,34,Unemployed,75309,124986,54,18.502990891537976,455,0
227,48,Unemployed,138506,311172,13,17.039875653148822,366,1
228,28,Salaried,144541,264380,55,11.96498027193141,377,0
229,57,Unemployed,33764,401092,41,19.600801259995684,589,0
230,25,Self Employed,53363,360289,27,19.686266846061624,580,1
231,27,Unemployed,133662,382034,18,12.90863558075235,796,1
232,35,Salaried,32588,424056,41,14.34523747114177,431,1
233,53,Unemployed,180218,203881,16,14.597400298418219,452,0
234,63,Unemployed,28895,366866,28,14.296314917277321,574,0
235,52,Self Employed,25254,386511,53,17.56949480757944,357,1
236,44,Salaried,116375,22963,55,17.80911658879325,337,0
237,40,Salaried,92103,71554,27,10.832913422272648,552,1
238,63,Self Employed,163344,460908,42,18.513431095980458,453,0
239,31,Unemployed,24070,263476,43,16.129658358766772,491,0
240,51,Salaried,170942,160104,58,15.1317375064443,349,1
241,58,Self Employed,171957,464203,43,19.29361543566189,743,1
242,39,Salaried,153746,171421,36,11.973641717092569,327,0
243,25,Salaried,64833,209229,51,19.647763950109862,607,1
244,40,Salaried,180922,89281,29,12.294870699537643,494,0
245,58,Unemployed,128301,318569,32,10.19326683033837,528,1
246,54,Unemployed,163343,213021,29,17.962273005221906,458,1
247,21,Self Employed,48387,210429,14,12.191600866189688,497,0
248,42,Self Employed,68716,458686,53,16.739002125385227,526,0
249,44,Salaried,168434,325093,18,13.652107653085348,458,0
250,40,Unemployed,123932,299902,31,18.682101764406994,610,0
251,43,Unemployed,60264,192356,57,16.73550522623063,428,1
252,50,Salaried,150889,265158,26,15.794784083025137,531,1
253,45,Self Employed,133208,81506,45,10.150983206516802,361,1
254,41,Unemployed,94127,173736,57,13.37808055501862,411,1
255,26,Unemployed,24629,306923,46,11.53820049532395,622,0
256,27,Self Employed,136441,431878,26,18.26726001220282,833,1
257,21,Self Employed,63069,148691,30,13.134628310110127,347,0
258,55,Self Employed,80944,489681,25,13.868173642115297,502,0
259,26,Salaried,82708,228833,13,17.764234580240014,700,0
260,60,Unemployed,60536,388405,52,14.742614710570937,378,0
261,40,Unemployed,173542,74662,46,19.39379406808386,731,1
262,31,Unemployed,195438,315936,45,13.503665506541807,810,0
263,47,Self Employed,76332,158111,52,15.471987976992686,580,0
264,37,Salaried,150714,398948,12,11.741589843614241,571,1
265,38,Self Employed,118772,358075,41,10.270992719535316,487,1
266,35,Salaried,181917,240209,41,12.921927098207252,623,1
267,59,Self Employed,113753,226150,36,18.658660263178216,387,1
268,27,Unemployed,186844,469903,58,16.107640975096132,405,0
269,39,Salaried,168037,62469,41,10.441467180153149,493,1
270,23,Unemployed,33364,185801,34,18.421280658771003,824,1
271,23,Salaried,193534,382014,50,12.455423214608526,448,0
272,48,Salaried,88580,493115,45,17.12410357485013,506,1
273,61,Salaried,66306,392593,45,10.660454199265113,565,1
274,50,Unemployed,87548,157562,51,11.33877055400861,371,1
275,38,Unemployed,109513,308404,38,12.03552264766978,412,0
276,43,Unemployed,139508,109467,24,17.1106488086396,519,0
277,60,Salaried,151284,214201,45,10.37097059376496,550,0
278,40,Self Employed,154137,131875,25,19.627481213169386,584,0
279,59,Salaried,69659,90702,46,15.621363285245419,338,1
280,67,Unemployed,109067,395219,30,14.824676997004396,372,0
281,41,Self Employed,197890,378837,50,10.550579803362139,581,1
282,52,Self Employed,74399,358551,20,19.883392248329542,612,0
283,45,Self Employed,160060,85533,27,19.459381427519396,325,1
284,36,Self Employed,175652,193979,38,12.149830667322586,637,0
285,68,Self Employed,184680,382490,48,16.942768312834218,517,0
286,57,Unemployed,89771,340714,41,10.925260004902706,597,1
287,55,Self Employed,20004,264767,49,19.08195099220169,502,0
288,44,Self Employed,199885,333730,56,11.361401382066173,335,0
289,69,Unemployed,103886,19411,45,15.48337597354813,645,1
290,21,Salaried,151833,284637,55,14.666714293224205,617,0
291,25,Unemployed,57785,337714,56,15.28461171076273,306,0
292,59,Unemployed,38799,144539,16,11.11016213011581,507,0
293,29,Unemployed,109545,458603,36,14.64106525199361,565,0
294,37,Self Employed,160293,487346,20,15.392274371331979,623,1
295,59,Self Employed,171898,149750,34,12.929491759499166,349,0
296,36,Self Employed,139185,41086,43,12.066782735377693,547,0
297,61,Self Employed,95989,101059,29,12.944186648965063,626,1
298,39,Salaried,149748,38822,41,19.41219899938765,317,1
299,29,Salaried,31694,460576,47,12.85109924508097,697,0
300,36,Salaried,46127,414004,22,11.968248255692165,408,1
301,45,Self Employed,21379,170009,38,11.60721529926341,775,1
302,23,Self Employed,199327,218623,29,16.24996181439445,614,0
303,44,Unemployed,169102,166358,33,14.856053593562322,516,1
304,51,Unemployed,168573,33152,27,18.459851742205807,331,0
305,51,Self Employed,198337,463886,12,17.035105102280145,421,0
306,27,Self Employed,109412,40458,35,18.413163196349444,640,1
307,48,Salaried,56699,474470,13,19.432490768410354,807,1
308,48,Self Employed,148059,202259,30,10.012113659571538,419,1
309,34,Self Employed,101065,313895,22,16.399420382569932,574,1
310,29,Self Employed,87454,227293,20,18.191619930307596,457,0
311,23,Unemployed,81563,351660,57,13.57658060453021,649,1
312,37,Salaried,155228,278147,25,19.658925882893136,689,0
313,65,Unemployed,92077,147048,21,16.055918337770947,774,1
314,21,Self Employed,47488,310215,12,11.987858045940289,720,0
315,61,Unemployed,148579,409264,21,10.622388120094362,429,1
316,57,Self Employed,121621,285859,55,13.16538482240501,564,0
317,47,Self Employed,181832,410650,30,17.96016623983122,742,1
318,66,Unemployed,88949,290996,49,16.017816103401024,573,1
319,21,Self Employed,60760,283225,20,14.75522039360733,588,0
320,31,Unemployed,105414,493212,47,19.830445450000376,342,1
321,33,Salaried,44056,36924,40,16.733667468500737,669,1
322,50,Unemployed,159705,92473,48,14.092978872011379,702,1
323,28,Self Employed,141253,133382,22,11.169212921473369,439,1
324,53,Unemployed,25569,267417,35,15.477822409483817,456,1
325,54,Self Employed,144246,223024,18,12.727996994066562,815,0
326,34,Unemployed,79869,280893,43,10.373640206367549,557,0
327,24,Self Employed,34514,163573,34,18.327203783699872,501,1
328,49,Unemployed,20390,494199,35,14.366488310852517,391,0
329,36,Salaried,135316,498323,41,13.142087740378052,689,0
330,38,Self Employed,23214,152380,27,11.085014873055778,521,0
331,55,Self Employed,49491,374281,41,12.274145496303692,533,0
332,59,Unemployed,121626,404957,13,15.93908628872241,802,0
333,29,Salaried,152385,340695,23,19.751962416295424,747,0
334,45,Self Employed,118394,487260,13,19.865991079725326,360,1
335,37,Unemployed,96074,384384,23,15.893375019466223,631,0
336,28,Self Employed,53302,122012,12,14.834731499073683,506,1
337,40,Self Employed,134350,312285,58,19.68388586003076,730,0
338,50,Salaried,130226,451773,39,11.438517562333505,321,1
339,55,Salaried,174074,373809,52,16.969331630829878,351,1
340,56,Self Employed,143491,13851,30,11.63401956324967,398,1
341,50,Self Employed,69430,472061,51,16.994910069326515,789,0
342,67,Unemployed,93776,363104,36,11.666761608417236,567,1
343,63,Self Employed,30520,277711,35,13.273716287100616,697,1
344,65,Unemployed,75301,166173,27,11.034360299220639,316,1
345,52,Self Employed,169587,37139,14,10.90066153665777,441,0
346,37,Self Employed,152027,295762,17,11.716820710767651,303,0
347,56,Unemployed,124850,169097,15,11.270877840749673,379,1
348,60,Self Employed,187838,129904,55,12.629029952461117,603,0
349,41,Unemployed,68298,323234,36,10.859232447226745,761,0
350,46,Salaried,155897,374715,16,13.611172575805304,541,1
351,64,Salaried,147656,416256,58,15.066856582319645,717,0
352,24,Self Employed,50269,303538,15,19.203111780998015,332,1
353,50,Self Employed,156107,316683,53,16.67174777604053,553,0
354,25,Self Employed,196801,466500,42,17.514191491862547,744,0
355,44,Unemployed,80191,417631,42,13.659492010284264,810,0
356,55,Self Employed,197266,250650,48,18.16647998587714,502,1
357,23,Unemployed,118399,211607,31,11.30222645768683,486,0
358,31,Self Employed,104915,444024,53,14.51950892679471,815,0
359,55,Self Employed,124234,402509,14,13.33765162263699,406,1
360,21,Self Employed,181577,71189,20,10.023716833672543,644,0
361,26,Self Employed,181902,77620,51,19.162987066426854,309,0
362,63,Salaried,99967,232908,57,15.122510984029148,495,1
363,63,Unemployed,100720,81280,43,19.493519205609772,376,1
364,62,Unemployed,64740,43602,51,11.1912883117298,372,1
365,61,Self Employed,32291,166000,43,18.288859758040658,734,1
366,40,Salaried,82637,115076,30,17.979202573833867,372,0
367,33,Salaried,29653,243144,14,17.227888247877967,716,0
368,53,Salaried,69169,104824,25,10.545703439412828,596,1
369,44,Self Employed,195414,347749,20,15.305596482962779,460,1
370,38,Unemployed,113873,384301,52,16.266085125980403,612,1
371,61,Unemployed,60712,201630,12,17.349367565274207,469,1
372,32,Self Employed,188934,83089,57,19.912395566854585,362,0
373,49,Salaried,162059,293100,42,14.328737390049543,686,1
374,55,Unemployed,69683,86193,17,15.434154722909431,312,0
375,52,Unemployed,89873,116253,26,13.814917360230844,586,0
376,35,Self Employed,198888,112240,36,19.14145296938606,395,1
377,63,Self Employed,25809,12680,36,10.811240717618931,663,0
378,48,Unemployed,85264,491627,18,17.18564690343255,769,0
379,65,Salaried,116747,346366,19,13.661785359606444,323,0
380,30,Unemployed,55539,325701,34,19.587474532997827,381,0
381,52,Unemployed,39225,137264,40,13.572241467315402,536,1
382,68,Self Employed,153092,420664,19,13.411094900237472,645,0
383,60,Self Employed,37982,94008,37,15.927239670092526,564,1
384,41,Self Employed,193554,284796,17,16.75826192100359,651,1
385,60,Self Employed,127152,130656,48,17.21423953023498,314,0
386,68,Self Employed,48559,99909,29,15.124792788138913,477,1
387,65,Salaried,40022,429910,50,18.531703322217147,670,0
388,53,Unemployed,125524,342586,52,15.456132386235925,649,0
389,32,Salaried,68117,71533,49,16.565027643099647,489,1
390,43,Self Employed,101013,122637,53,12.25008816036669,629,1
391,51,Salaried,95629,371380,31,16.967757717668448,848,0
392,68,Unemployed,187572,299973,53,13.60865012327714,507,0
393,67,Unemployed,142112,445258,27,19.52910915561099,779,1
394,52,Self Employed,20212,274408,42,19.646031182800524,821,0
395,37,Unemployed,40173,108841,15,12.833369151976518,849,1
396,31,Self Employed,63500,461925,41,18.73654862296234,761,0
397,63,Self Employed,139156,198904,49,15.732826092950397,548,1
398,33,Unemployed,59317,98096,35,10.182768395382526,419,0
399,50,Unemployed,134968,360081,36,11.718763679068525,419,0
400,34,Self Employed,32096,400818,20,16.16303175757686,614,0
401,47,Unemployed,126953,254907,23,19.525814182604734,498,0
402,47,Unemployed,76111,275329,51,16.181467740624207,454,0
403,43,Salaried,161013,118303,29,10.714744324358083,708,1
404,66,Salaried,115367,190428,25,19.62556112479522,841,1
405,49,Unemployed,96120,206711,34,12.245841743991548,476,0
406,69,Unemployed,174194,27370,56,14.16659105697277,787,0
407,63,Salaried,84277,413822,19,11.105696918879998,724,0
408,61,Unemployed,131068,393815,59,11.817427390639535,419,0
409,59,Salaried,123530,429409,40,16.847603936816192,306,1
410,49,Salaried,145050,489980,23,14.739758855377108,516,0
411,28,Unemployed,84853,62411,45,14.701045032387814,698,1
412,63,Salaried,130689,89795,41,11.167670482303091,346,0
413,60,Salaried,90003,337466,23,16.76964981272492,527,0
414,68,Unemployed,143570,268567,34,17.03623921648468,316,0
415,58,Unemployed,29817,348154,27,12.857266265902506,801,0
416,22,Self Employed,103172,499289,51,11.985632785471502,382,0
417,51,Unemployed,197516,252675,31,10.49259460373362,483,0
418,54,Self Employed,180477,98897,27,17.508859401291566,392,1
419,43,Unemployed,159535,266130,56,10.03028971950907,811,1
420,35,Self Employed,51920,377640,43,15.10543241089561,770,0
421,56,Self Employed,189675,329442,15,14.378545630914711,335,0
422,23,Self Employed,35525,176291,60,10.632142898311495,834,1
423,27,Unemployed,32169,41468,57,18.749682632730725,539,1
424,33,Unemployed,140388,24842,52,14.475273150756205,755,1
425,43,Salaried,30252,313474,34,18.633955203802962,766,0
426,50,Unemployed,49858,38867,13,16.07630387801635,396,1
427,48,Salaried,178321,159784,34,13.022272096099233,847,1
428,33,Unemployed,113514,411109,58,18.117586620554583,331,0
429,23,Salaried,98798,68555,32,12.817718872105818,300,1
430,36,Self Employed,185882,316475,17,10.03097439380534,577,0
431,54,Self Employed,27444,475162,52,12.922081519402417,711,1
432,22,Salaried,127733,382479,49,12.947773396847268,376,0
433,27,Salaried,121924,145924,60,17.303065614226703,557,0
434,32,Salaried,194797,474090,15,16.482757877078477,352,0
435,69,Salaried,61629,409519,22,12.087985131204672,459,1
436,46,Salaried,97063,398583,56,17.897190979376113,441,1
437,37,Salaried,136327,16672,51,16.75286155204787,820,1
438,50,Unemployed,86549,41917,26,18.42277057992718,715,0
439,21,Self Employed,107799,369981,21,18.6876812237717,358,1
440,33,Self Employed,49681,72931,39,19.11432369370289,415,0
441,39,Unemployed,60371,11063,51,14.688283882907527,545,0
442,40,Unemployed,177474,255313,25,10.167117615085848,339,1
443,41,Unemployed,187347,157019,53,15.361893162079129,773,0
444,48,Salaried,58901,470357,36,10.64752808747832,717,0
445,34,Self Employed,132555,367956,52,11.724890557827974,356,0
446,31,Unemployed,93283,257018,31,10.47443264922772,580,0
447,54,Salaried,34420,95266,40,16.298051739963352,548,0
448,29,Salaried,140751,249938,45,10.884840664084122,781,0
449,35,Salaried,41917,285975,58,16.516802916705345,710,0
450,53,Salaried,81524,393866,36,19.86355082465981,672,0
451,25,Salaried,73209,380445,27,17.02847690451207,637,1
452,31,Self Employed,85692,420755,29,12.904605150813966,341,0
453,45,Self Employed,186551,194333,12,12.565574473721439,338,0
454,51,Unemployed,97266,200544,15,15.410936212646197,760,0
455,46,Self Employed,153814,167545,19,10.187609569565186,473,0
456,68,Self Employed,144088,368105,46,11.724897962355328,592,0
457,23,Unemployed,81688,196374,44,18.78650103007549,597,0
458,66,Salaried,156612,382372,43,11.891741589925866,495,0
459,62,Salaried,103860,257644,57,19.03164261975425,831,1
460,32,Self Employed,68540,111867,22,19.558090829579882,522,0
461,52,Unemployed,187165,369596,40,12.912342405408907,848,1
462,58,Self Employed,69752,225390,53,16.60822670952826,405,0
463,44,Unemployed,26641,321589,58,11.886585804548206,600,1
464,54,Salaried,25653,115216,34,10.537433565681381,736,0
465,26,Unemployed,105465,469699,25,14.041751509742564,450,0
466,51,Salaried,63580,52848,17,14.430223980822849,381,1
467,54,Salaried,72614,212508,41,10.31057022329035,400,1
